,Address,Sold,Sold Date,Bed,Bath,Size,Lot Size,HOA,Year Build,Type
335,"111 Poppy Ct,Fremont, CA 94538","$1,265,081","AUG 24, 2021",3,2,"1,232","6,784 Sq. Ft.",0,1961,Single Family Residential
336,"35620 Meyer Ct,Fremont, CA 94536","$2,061,523","JUL 26, 2021",4,3,"2,173","8,750 Sq. Ft.",0,1986,Single Family Residential
337,"38623 Cherry Ln #166,Fremont, CA 94536","$641,438","JUL 9, 2021",3,2,"1,199",0,0,1974,Condo/Co-op
338,"43947 Boston Ct,Fremont, CA 94539","$2,798,592","SEP 3, 2021",4,3,"2,642","8,753 Sq. Ft.",0,1991,Single Family Residential
339,"780 Little Foot Dr,Fremont, CA 94539","$2,254,878","JUL 9, 2021",4,3,"2,235","7,579 Sq. Ft.",0,1977,Single Family Residential
340,"4238 Margery Dr,Fremont, CA 94538","$1,130,924","AUG 4, 2021",3,2,"1,107","6,000 Sq. Ft.",0,1959,Single Family Residential
341,"4991 Conway Ter #53,Fremont, CA 94555","$1,144,571","SEP 7, 2021",3,3,"1,309",0,0,1988,Condo/Co-op
342,"48535 Spokane Rd,Fremont, CA 94539","$1,910,336","JUL 19, 2021",4,2,"2,122",0,0,1977,Single Family Residential
343,"103 Boston Fern Cmn Unit U247,Fremont, CA 94539","$975,465","AUG 12, 2021",2,2,"1,382",0,0,2008,Condo/Co-op
344,"2881 Predio Ter,Fremont, CA 94539","$1,367,620","JUL 19, 2021",4,4,"2,108",0,0,2015,Condo/Co-op
345,"WARM SPRINGS BLVD,FREMONT, CA 94538","$1,063,074","AUG 24, 2021",2,2,"1,265",0,0,2019,Condo/Co-op
346,"WARM SPRINGS BLVD,FREMONT, CA 94538","$910,384","AUG 20, 2021",2,2,"1,265",0,0,2020,Condo/Co-op
347,"MOWRY AVE,FREMONT, CA 94538","$1,498,537","AUG 2, 2021",0,0,0,"4,519 Sq. Ft.",0,—,Single Family Residential
348,"MOWRY AVE,FREMONT, CA 94538","$1,510,364","JUL 30, 2021",0,0,0,"5,210 Sq. Ft.",0,—,Single Family Residential
349,"WARM SPRINGS BLVD,FREMONT, CA 94538","$2,401,874","AUG 13, 2021",0,0,0,0,0,—,Single Family Residential
350,"WARM SPRINGS BLVD,FREMONT, CA 94538","$2,538,257","AUG 13, 2021",0,0,0,0,0,—,Single Family Residential
